id,web_name,first name,last name,team_code,team_name,full_name
606,Vale,Harvey,Vale,6,Chelsea,Harvey Vale
616,Zakaria,Denis,Zakaria,6,Chelsea,Denis Zakaria
617,Aubameyang,Pierre-Emerick,Aubameyang,6,Chelsea,Pierre-Emerick Aubameyang
635,Bettinelli,Marcus,Bettinelli,6,Chelsea,Marcus Bettinelli
653,Hutchinson,Omari,Hutchinson,6,Chelsea,Omari Hutchinson
661,Hall,Lewis,Hall,6,Chelsea,Lewis Hall
152,Guaita,Vicente,Guaita,7,Crystal Palace,Vicente Guaita
153,Tomkins,James,Tomkins,7,Crystal Palace,James Tomkins
154,McArthur,James,McArthur,7,Crystal Palace,James McArthur
155,Benteke,Christian,Benteke,7,Crystal Palace,Christian Benteke
156,Ward,Joel,Ward,7,Crystal Palace,Joel Ward
157,Clyne,Nathaniel,Clyne,7,Crystal Palace,Nathaniel Clyne
158,Milivojevic,Luka,Milivojevic,7,Crystal Palace,Luka Milivojevic
159,Ayew,Jordan,Ayew,7,Crystal Palace,Jordan Ayew
160,Zaha,Wilfried,Zaha,7,Crystal Palace,Wilfried Zaha
161,Schlupp,Jeffrey,Schlupp,7,Crystal Palace,Jeffrey Schlupp
162,Butland,Jack,Butland,7,Crystal Palace,Jack Butland
163,Hughes,Will,Hughes,7,Crystal Palace,Will Hughes
164,Riedewald,Jairo,Riedewald,7,Crystal Palace,Jairo Riedewald
165,Andersen,Joachim,Andersen,7,Crystal Palace,Joachim Andersen
166,Edouard,Odsonne,Edouard,7,Crystal Palace,Odsonne Edouard
167,Guéhi,Marc,Guéhi,7,Crystal Palace,Marc Guéhi
168,Mateta,Jean-Philippe,Mateta,7,Crystal Palace,Jean-Philippe Mateta
169,Eze,Eberechi,Eze,7,Crystal Palace,Eberechi Eze
170,Mitchell,Tyrick,Mitchell,7,Crystal Palace,Tyrick Mitchell
171,Olise,Michael,Olise,7,Crystal Palace,Michael Olise
172,Rak-Sakyi,Jesurun,Rak-Sakyi,7,Crystal Palace,Jesurun Rak-Sakyi
173,Ebiowei,Malcolm,Ebiowei,7,Crystal Palace,Malcolm Ebiowei
174,Ferguson,Nathan,Ferguson,7,Crystal Palace,Nathan Ferguson
175,Johnstone,Sam,Johnstone,7,Crystal Palace,Sam Johnstone
495,Matthews,Remi,Matthews,7,Crystal Palace,Remi Matthews
496,Plange,Luke,Plange,7,Crystal Palace,Luke Plange
514,C.Doucouré,Cheick,Doucouré,7,Crystal Palace,Cheick Doucouré
530,Richards,Chris,Richards,7,Crystal Palace,Chris Richards
590,Whitworth,Joseph,Whitworth,7,Crystal Palace,Joseph Whitworth
601,Rodney,Kaden,Rodney,7,Crystal Palace,Kaden Rodney
604,Phillips,Killian,Phillips,7,Crystal Palace,Killian Phillips
634,Gordon,John-Kymani,Gordon,7,Crystal Palace,John-Kymani Gordon
642,Balmer,Kofi,Balmer,7,Crystal Palace,Kofi Balmer
644,Goodman,Owen,Goodman,7,Crystal Palace,Owen Goodman
654,Wells-Morrison,Jack,Wells-Morrison,7,Crystal Palace,Jack Wells-Morrison
110,Maupay,Neal,Maupay,8,Everton,Neal Maupay
176,Begović,Asmir,Begović,8,Everton,Asmir Begović
177,Rondón,Salomón,Rondón,8,Everton,Salomón Rondón
178,Coleman,Seamus,Coleman,8,Everton,Seamus Coleman
179,Townsend,Andros,Townsend,8,Everton,Andros Townsend
180,Keane,Michael,Keane,8,Everton,Michael Keane
181,Dele,Dele,Alli,8,Everton,Dele Alli
182,Pickford,Jordan,Pickford,8,Everton,Jordan Pickford
183,Allan,Allan,Marques Loureiro,8,Everton,Allan Marques Loureiro
184,André Gomes,André,Tavares Gomes,8,Everton,André Tavares Gomes
185,A.Doucouré,Abdoulaye,Doucouré,8,Everton,Abdoulaye Doucouré
186,Iwobi,Alex,Iwobi,8,Everton,Alex Iwobi
187,Gbamin,Jean-Philippe,Gbamin,8,Everton,Jean-Philippe Gbamin
188,Mina,Yerry,Mina,8,Everton,Yerry Mina
189,Gray,Demarai,Gray,8,Everton,Demarai Gray
190,Davies,Tom,Davies,8,Everton,Tom Davies
191,Calvert-Lewin,Dominic,Calvert-Lewin,8,Everton,Dominic Calvert-Lewin
192,Holgate,Mason,Holgate,8,Everton,Mason Holgate
193,Godfrey,Ben,Godfrey,8,Everton,Ben Godfrey
194,Mykolenko,Vitalii,Mykolenko,8,Everton,Vitalii Mykolenko
195,Gordon,Anthony,Gordon,8,Everton,Anthony Gordon
196,Branthwaite,Jarrad,Branthwaite,8,Everton,Jarrad Branthwaite
197,Patterson,Nathan,Patterson,8,Everton,Nathan Patterson
198,Nkounkou,Niels,Nkounkou,8,Everton,Niels Nkounkou
199,Tarkowski,James,Tarkowski,8,Everton,James Tarkowski
475,Coady,Conor,Coady,8,Everton,Conor Coady
531,Vinagre,Rúben,Nascimento Vinagre,8,Everton,Rúben Nascimento Vinagre
534,McNeil,Dwight,McNeil,8,Everton,Dwight McNeil
560,Mills,Stanley,Mills,8,Everton,Stanley Mills
561,Warrington,Lewis,Warrington,8,Everton,Lewis Warrington
570,Garner,James,Garner,8,Everton,James Garner
577,Onana,Amadou,Onana,8,Everton,Amadou Onana
605,Welch,Reece,Welch,8,Everton,Reece Welch
611,Gueye,Idrissa,Gueye,8,Everton,Idrissa Gueye
627,Jakupović,Eldin,Jakupovic,8,Everton,Eldin Jakupovic
637,John,Kyle,John,8,Everton,Kyle John
662,Cannon,Thomas,Cannon,8,Everton,Thomas Cannon
2,Leno,Bernd,Leno,9,Fulham,Bernd Leno
105,Duffy,Shane,Duffy,9,Fulham,Shane Duffy
200,Cairney,Tom,Cairney,9,Fulham,Tom Cairney
201,Ream,Tim,Ream,9,Fulham,Tim Ream
202,Knockaert,Anthony,Knockaert,9,Fulham,Anthony Knockaert
203,Chalobah,Nathaniel,Chalobah,9,Fulham,Nathaniel Chalobah
204,Kebano,Neeskens,Kebano,9,Fulham,Neeskens Kebano
205,De Cordova-Reid,Bobby,De Cordova-Reid,9,Fulham,Bobby De Cordova-Reid
206,Bryan,Joe,Bryan,9,Fulham,Joe Bryan
207,Gazzaniga,Paulo,Gazzaniga Farias,9,Fulham,Paulo Gazzaniga Farias
208,Kongolo,Terence,Kongolo,9,Fulham,Terence Kongolo
209,Tosin,Tosin,Adarabioyo,9,Fulham,Tosin Adarabioyo
210,Mitrović,Aleksandar,Mitrović,9,Fulham,Aleksandar Mitrović
211,Reed,Harrison,Reed,9,Fulham,Harrison Reed
212,Wilson,Harry,Wilson,9,Fulham,Harry Wilson
213,Rodák,Marek,Rodák,9,Fulham,Marek Rodák
214,Cavaleiro,Ivan,Neves Abreu Cavaleiro,9,Fulham,Ivan Neves Abreu Cavaleiro
215,Tete,Kenny,Tete,9,Fulham,Kenny Tete
216,Onomah,Josh,Onomah,9,Fulham,Josh Onomah
217,Robinson,Antonee,Robinson,9,Fulham,Antonee Robinson
218,Muniz,Rodrigo,Muniz Carvalho,9,Fulham,Rodrigo Muniz Carvalho
219,Stansfield,Jay,Stansfield,9,Fulham,Jay Stansfield
220,Palhinha,João,Palhinha Gonçalves,9,Fulham,João Palhinha Gonçalves
231,James,Daniel,James,9,Fulham,Daniel James
346,Andreas,Andreas,Hoelgebaum Pereira,9,Fulham,Andreas Hoelgebaum Pereira
470,Diop,Issa,Diop,9,Fulham,Issa Diop
521,Francois,Tyrese,Francois,9,Fulham,Tyrese Francois
532,Mbabu,Kevin,Mbabu,9,Fulham,Kevin Mbabu
546,Harris,Luke,Harris,9,Fulham,Luke Harris
562,Solomon,Manor,Solomon,9,Fulham,Manor Solomon
591,Ablade,Terry,Ablade,9,Fulham,Terry Ablade
613,Kurzawa,Layvin,Kurzawa,9,Fulham,Layvin Kurzawa
614,Willian,Willian,Borges da Silva,9,Fulham,Willian Borges da Silva
618,Vinícius,Carlos Vinícius,Alves Morais,9,Fulham,Carlos Vinícius Alves Morais
636,Parkes,Stefan,Parkes,9,Fulham,Stefan Parkes
641,Godo,Martial,Godo,9,Fulham,Martial Godo
667,Sekularac,Kristian,Sekularac,9,Fulham,Kristian Sekularac
248,Schmeichel,Kasper,Schmeichel,10,Leicester City,Kasper Schmeichel
249,Evans,Jonny,Evans,10,Leicester City,Jonny Evans
250,Bertrand,Ryan,Bertrand,10,Leicester City,Ryan Bertrand
251,Albrighton,Marc,Albrighton,10,Leicester City,Marc Albrighton
252,Mendy,Nampalys,Mendy,10,Leicester City,Nampalys Mendy
253,Vestergaard,Jannik,Vestergaard,10,Leicester City,Jannik Vestergaard
254,Ward,Danny,Ward,10,Leicester City,Danny Ward
255,Vardy,Jamie,Vardy,10,Leicester City,Jamie Vardy
256,Ricardo,Ricardo,Barbosa Pereira,10,Leicester City,Ricardo Barbosa Pereira
257,Amartey,Daniel,Amartey,10,Leicester City,Daniel Amartey
258,Castagne,Timothy,Castagne,10,Leicester City,Timothy Castagne
259,Tielemans,Youri,Tielemans,10,Leicester City,Youri Tielemans
260,Pérez,Ayoze,Pérez,10,Leicester City,Ayoze Pérez
261,Maddison,James,Maddison,10,Leicester City,James Maddison
262,Iheanacho,Kelechi,Iheanacho,10,Leicester City,Kelechi Iheanacho
263,Choudhury,Hamza,Choudhury,10,Leicester City,Hamza Choudhury
264,Barnes,Harvey,Barnes,10,Leicester City,Harvey Barnes
265,Ndidi,Wilfred,Ndidi,10,Leicester City,Wilfred Ndidi
266,Dewsbury-Hall,Kiernan,Dewsbury-Hall,10,Leicester City,Kiernan Dewsbury-Hall
267,Söyüncü,Çaglar,Söyüncü,10,Leicester City,Çaglar Söyüncü
268,Justin,James,Justin,10,Leicester City,James Justin
269,Soumaré,Boubakary,Soumaré,10,Leicester City,Boubakary Soumaré
270,Thomas,Luke,Thomas,10,Leicester City,Luke Thomas
271,Daka,Patson,Daka,10,Leicester City,Patson Daka
273,Brunt,Lewis,Brunt,10,Leicester City,Lewis Brunt
548,Iversen,Daniel,Iversen,10,Leicester City,Daniel Iversen
